                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-17 00:00:00+01:00  172.806000  172.815002  172.779999  172.789993   
2024-10-17 00:01:00+01:00  172.781006  172.804993  172.778000  172.798004   
2024-10-17 00:02:00+01:00  172.796997  172.820007  172.794006  172.820007   
2024-10-17 00:03:00+01:00  172.815002  172.848999  172.809998  172.815994   
2024-10-17 00:04:00+01:00  172.822006  172.839005  172.809998  172.820007   
2024-10-17 00:05:00+01:00  172.820999  172.843002  172.802002  172.828995   
2024-10-17 00:06:00+01:00  172.828003  172.850006  172.804993  172.848007   
2024-10-17 00:07:00+01:00  172.847000  172.856995  172.835999  172.837997   
2024-10-17 00:08:00+01:00  172.839996  172.858002  172.828995  172.848007   
2024-10-17 00:09:00+01:00  172.848999  172.860001  172.832001  172.847000   
2024-10-17 00:10:00+01:00  172.847000  172.863998  172.837006  172.858002   
2024-10-17 00:11:00+01:00  172.856003  172.865997  172.845993  172.860001   
2024-10-17 00:12:00+01:00  172.863998  172.863998  172.845993  172.852997   
2024-10-17 00:13:00+01:00  172.848999  172.863007  172.841003  172.850998   
2024-10-17 00:14:00+01:00  172.845993  172.858002  172.839005  172.843994   
2024-10-17 00:15:00+01:00  172.845993  172.856003  172.820007  172.828003   
2024-10-17 00:16:00+01:00  172.826996  172.843994  172.804001  172.806000   
2024-10-17 00:17:00+01:00  172.806000  172.830002  172.806000  172.807999   
2024-10-17 00:18:00+01:00  172.809998  172.832001  172.804993  172.813995   
2024-10-17 00:19:00+01:00  172.819000  172.837006  172.815994  172.828995   
2024-10-17 00:20:00+01:00  172.835007  172.835999  172.815002  172.822998   
2024-10-17 00:21:00+01:00  172.822006  172.848007  172.809006  172.848007   
2024-10-17 00:22:00+01:00  172.847000  172.858994  172.839996  172.856995   
2024-10-17 00:23:00+01:00  172.858994  172.865997  172.843002  172.843994   
2024-10-17 00:24:00+01:00  172.845001  172.856995  172.813004  172.824005   
2024-10-17 00:25:00+01:00  172.832001  172.852997  172.820007  172.843002   
2024-10-17 00:26:00+01:00  172.848999  172.854004  172.830002  172.839005   
2024-10-17 00:27:00+01:00  172.845001  172.854996  172.830002  172.834000   
2024-10-17 00:28:00+01:00  172.832993  172.847000  172.822006  172.837006   
2024-10-17 00:29:00+01:00  172.826004  172.834000  172.815994  172.817001   
2024-10-17 00:30:00+01:00  172.819000  172.830994  172.811996  172.820007   
2024-10-17 00:31:00+01:00  172.817993  172.835999  172.815002  172.820007   
2024-10-17 00:32:00+01:00  172.815002  172.828003  172.807007  172.815994   
2024-10-17 00:33:00+01:00  172.822998  172.828995  172.809998  172.817993   
2024-10-17 00:34:00+01:00  172.807007  172.832993  172.800003  172.824997   
2024-10-17 00:35:00+01:00  172.826004  172.834000  172.820007  172.824005   
2024-10-17 00:36:00+01:00  172.824997  172.850998  172.817993  172.848999   
2024-10-17 00:37:00+01:00  172.850006  172.865005  172.824997  172.839996   
2024-10-17 00:38:00+01:00  172.843002  172.856003  172.828995  172.854996   
2024-10-17 00:39:00+01:00  172.852005  172.862000  172.841003  172.852005   
2024-10-17 00:40:00+01:00  172.850998  172.854004  172.843002  172.852005   
2024-10-17 00:41:00+01:00  172.848007  172.856995  172.828003  172.835999   
2024-10-17 00:42:00+01:00  172.839005  172.847000  172.826004  172.845993   
2024-10-17 00:43:00+01:00  172.845993  172.852997  172.832993  172.848007   
2024-10-17 00:44:00+01:00  172.848007  172.852997  172.835007  172.847000   
2024-10-17 00:45:00+01:00  172.845993  172.854004  172.832001  172.837006   
2024-10-17 00:46:00+01:00  172.847000  172.858002  172.830994  172.835007   
